ID,Program Name,Link,Program Type,Project Name,Recipient Region (if applicable),MEA Award,Total Project Cost,Sector,Capacity,Capacity Units,Electricity Reduction (kWh),Technology,CO2 Emissions Reductions (metric tons),Date,Notes,Legislative District,Congressional District,County
RCEGP004629,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,35843,Residential,9.31,kW,,Solar PV,5.53014,05-08-2013 00:00,,,,
RCEGP004630,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,5520,88099.2,Residential,11.04,kW,,Solar PV,6.55776,10/14/2011 12:00:00 AM,,,,
RCEGP004631,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,63900,Residential,15.5,kW,,Solar PV,9.207,11-05-2013 00:00,,,,
RCEGP004632,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,7688,57120,Residential,10.5,kW,,Solar PV,6.237,07-01-2010 00:00,,,,
RCEGP004633,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,700,2810.65,Residential,43000,BTUs/hr,,Wood Burning Stove,,02/14/2014 12:00:00 AM,,,,
RCEGP004634,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3000,22200,Residential,3,ton,,Geothermal,1.406295,02/13/2013 12:00:00 AM,,,,
RCEGP004635,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,13325,Residential,5,kW,,Solar PV,2.97,07/29/2013 12:00:00 AM,,,,
RCEGP004636,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,52581,Residential,13.23,kW,,Solar PV,7.85862,07/22/2013 12:00:00 AM,,,,
RCEGP004637,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,500,4040.09,Residential,20.17,sqft,,Solar Hot Water,0.5391441,01/17/2012 12:00:00 AM,,,,
RCEGP004638,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,2000,28150,Residential,4,ton,,Geothermal,1.87506,01/19/2012 12:00:00 AM,,,,
RCEGP004639,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,500,6850,Residential,96,sqft,,Solar Hot Water,2.56608,06/25/2012 12:00:00 AM,,,,
RCEGP004640,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,2000,12900,Residential,50,sqft,,Solar Hot Water,1.3365,11-01-2010 00:00,,,,
RCEGP004641,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,20918,Residential,3,ton,,Geothermal,1.406295,04/26/2012 12:00:00 AM,,,,
RCEGP004642,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,500,3700.13,Residential,47000,BTUs/hr,,Wood Burning Stove,,09/22/2014 12:00:00 AM,,,,
RCEGP004643,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,700,2266.92,Residential,50000,BTUs/hr,,Wood Burning Stove,,04/23/2014 12:00:00 AM,,,,
RCEGP004644,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,600,2388.62,Residential,40000,BTUs/hr,,Wood Burning Stove,,05/29/2013 12:00:00 AM,,,,
RCEGP004645,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,700,3924.54,Residential,47300,BTUs/hr,,Wood Burning Stove,,01/22/2014 12:00:00 AM,,,,
RCEGP004646,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3000,32370,Residential,3,ton,,Geothermal,1.406295,04/24/2014 12:00:00 AM,,,,
RCEGP004647,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,5140,34396,Residential,5.52,kW,,Solar PV,3.27888,06/17/2011 12:00:00 AM,,,,
RCEGP004648,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,500,13800,Residential,54,sqft,,Solar Hot Water,1.44342,05/29/2012 12:00:00 AM,,,,
RCEGP004649,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,18816.45,Residential,3.995,kW,,Solar PV,2.37303,09-09-2013 00:00,,,,
RCEGP004650,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,20295,Residential,5.5,kW,,Solar PV,3.267,08-06-2014 00:00,,,,
RCEGP004651,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,29325,Residential,8.5,kW,,Solar PV,5.049,06-04-2013 00:00,,,,
RCEGP004652,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,57000,Residential,9.5,kW,,Solar PV,5.643,07/30/2014 12:00:00 AM,,,,
RCEGP004653,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,28656,Residential,5.76,kW,,Solar PV,3.42144,04/29/2013 12:00:00 AM,,,,
RCEGP004654,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3000,27648,Residential,3,ton,,Geothermal,1.406295,05/17/2013 12:00:00 AM,,,,
